tournament,eid,year,round,player_a,player_a_pid,player_b,player_b_pid,score_a,score_b,winner,winner_pid,loser,loser_pid
World Championship,425,2008,Last 16,John Part,10,Alex Roy,22,4,0,John Part,10,Alex Roy,22
World Championship,425,2008,Last 16,Kevin Painter,18,Raymond van Barneveld,2,4,2,Kevin Painter,18,Raymond van Barneveld,2
World Championship,425,2008,Last 16,Peter Manley,4,Jan van der Rassel,53,4,1,Peter Manley,4,Jan van der Rassel,53
World Championship,425,2008,Last 16,James Wade,11,Mark Dudbridge,20,4,2,James Wade,11,Mark Dudbridge,20
World Championship,425,2008,Last 16,Adrian Lewis,5,Tony Eccles,178,4,3,Adrian Lewis,5,Tony Eccles,178
World Championship,425,2008,Last 16,Kirk Shepherd,1492,Barrie Bates,16,4,2,Kirk Shepherd,1492,Barrie Bates,16
World Championship,425,2008,Last 16,Wayne Mardle,9,Roland Scholten,6,4,3,Wayne Mardle,9,Roland Scholten,6
World Championship,425,2008,Last 16,Phil Taylor,1,Alan Tabern,23,4,3,Phil Taylor,1,Alan Tabern,23
World Championship,425,2008,Quarter Final,Kevin Painter,18,Adrian Lewis,5,5,2,Kevin Painter,18,Adrian Lewis,5
World Championship,425,2008,Quarter Final,Wayne Mardle,9,Phil Taylor,1,5,4,Wayne Mardle,9,Phil Taylor,1
World Championship,425,2008,Quarter Final,John Part,10,James Wade,11,5,4,John Part,10,James Wade,11
World Championship,425,2008,Quarter Final,Kirk Shepherd,1492,Peter Manley,4,5,4,Kirk Shepherd,1492,Peter Manley,4
World Championship,425,2008,Semi Final,Kirk Shepherd,1492,Wayne Mardle,9,6,4,Kirk Shepherd,1492,Wayne Mardle,9
World Championship,425,2008,Semi Final,John Part,10,Kevin Painter,18,6,2,John Part,10,Kevin Painter,18
World Championship,425,2008,Final,John Part,10,Kirk Shepherd,1492,7,2,John Part,10,Kirk Shepherd,1492
World Championship,1154,2009,Last 70,Marko Kantele,89,Lourence Ilagan,2167,5,2,Marko Kantele,89,Lourence Ilagan,2167
World Championship,1154,2009,Last 70,Remco van Eijden,946,Anastasia Dobromyslova,3853,5,3,Remco van Eijden,946,Anastasia Dobromyslova,3853
World Championship,1154,2009,Last 70,Charles Losper,4412,Sudesh Fitzgerald,4312,6,4,Charles Losper,4412,Sudesh Fitzgerald,4312
World Championship,1154,2009,Last 70,David Fatum,972,Shane O'Connor,5135,6,4,David Fatum,972,Shane O'Connor,5135
World Championship,1154,2009,Last 70,Shi Yongsheng,1423,Hannes Schnier,2544,6,4,Shi Yongsheng,1423,Hannes Schnier,2544
World Championship,1154,2009,Last 70,Warren French,1421,Akahiro Nakagawa,5635,5,3,Warren French,1421,Akahiro Nakagawa,5635
World Championship,1154,2009,Last 64,Vincent van der Voort,1499,Nandor Bezzeg,2197,3,0,Vincent van der Voort,1499,Nandor Bezzeg,2197
World Championship,1154,2009,Last 64,James Wade,11,Brendan Dolan,1607,3,0,James Wade,11,Brendan Dolan,1607
World Championship,1154,2009,Last 64,Colin Osborne,27,Charles Losper,4412,3,0,Colin Osborne,27,Charles Losper,4412
World Championship,1154,2009,Last 64,Ronnie Baxter,14,Marko Kantele,89,3,1,Ronnie Baxter,14,Marko Kantele,89
World Championship,1154,2009,Last 64,Tony Eccles,178,Remco van Eijden,946,3,2,Tony Eccles,178,Remco van Eijden,946
World Championship,1154,2009,Last 64,Jan van der Rassel,53,Kirk Shepherd,1492,3,2,Jan van der Rassel,53,Kirk Shepherd,1492
World Championship,1154,2009,Last 64,Paul Nicholson,5212,Adrian Gray,48,3,0,Paul Nicholson,5212,Adrian Gray,48
World Championship,1154,2009,Last 64,Tony Ayres,5326,Andy Smith,21,3,2,Tony Ayres,5326,Andy Smith,21
World Championship,1154,2009,Last 64,Mervyn King,168,Shi Yongsheng,1423,3,0,Mervyn King,168,Shi Yongsheng,1423
World Championship,1154,2009,Last 64,John Magowan,38,Chris Mason,17,3,0,John Magowan,38,Chris Mason,17
World Championship,1154,2009,Last 64,Adrian Lewis,5,Russell Stewart,1536,3,1,Adrian Lewis,5,Russell Stewart,1536
World Championship,1154,2009,Last 64,Jelle Klaasen,1511,Colin Lloyd,3,3,0,Jelle Klaasen,1511,Colin Lloyd,3
World Championship,1154,2009,Last 64,Wayne Mardle,9,David Fatum,972,3,0,Wayne Mardle,9,David Fatum,972
World Championship,1154,2009,Last 64,Andy Hamilton,12,Michael Barnard,1399,3,0,Andy Hamilton,12,Michael Barnard,1399
World Championship,1154,2009,Last 64,Denis Ovens,19,Steve Maish,35,3,0,Denis Ovens,19,Steve Maish,35
World Championship,1154,2009,Last 64,Raymond van Barneveld,2,Mark Stephenson,1482,3,0,Raymond van Barneveld,2,Mark Stephenson,1482
World Championship,1154,2009,Last 64,Mensur Suljovic,1933,Peter Manley,4,3,2,Mensur Suljovic,1933,Peter Manley,4
World Championship,1154,2009,Last 64,Wes Newton,24,Per Laursen,1396,3,1,Wes Newton,24,Per Laursen,1396
World Championship,1154,2009,Last 64,Mark Dudbridge,20,Nick Fullwell,1487,3,2,Mark Dudbridge,20,Nick Fullwell,1487
World Championship,1154,2009,Last 64,Mark Walsh,15,Jamie Caven,1662,3,2,Mark Walsh,15,Jamie Caven,1662
World Championship,1154,2009,Last 64,Kevin McDine,1525,Alex Roy,22,3,1,Kevin McDine,1525,Alex Roy,22
World Championship,1154,2009,Last 64,Phil Taylor,1,Steve Grubb,1480,3,0,Phil Taylor,1,Steve Grubb,1480
World Championship,1154,2009,Last 64,Dennis Priestley,8,Warren French,1421,3,0,Dennis Priestley,8,Warren French,1421
World Championship,1154,2009,Last 64,Barrie Bates,16,Felix McBrearty,1321,3,0,Barrie Bates,16,Felix McBrearty,1321
World Championship,1154,2009,Last 64,Alan Tabern,23,Steve Beaton,33,3,0,Alan Tabern,23,Steve Beaton,33
World Championship,1154,2009,Last 64,Michael van Gerwen,1395,Darin Young,1380,3,1,Michael van Gerwen,1395,Darin Young,1380
World Championship,1154,2009,Last 64,Dennis Smith,31,Terry Jenkins,7,3,1,Dennis Smith,31,Terry Jenkins,7
World Championship,1154,2009,Last 64,Kevin Painter,18,Matt Clark,37,3,2,Kevin Painter,18,Matt Clark,37
World Championship,1154,2009,Last 64,Co Stompe,179,Andy Jenkins,13,3,1,Co Stompe,179,Andy Jenkins,13
World Championship,1154,2009,Last 64,Bill Davis,1391,John Part,10,3,0,Bill Davis,1391,John Part,10
World Championship,1154,2009,Last 64,Robert Thornton,1543,Wayne Jones,25,3,1,Robert Thornton,1543,Wayne Jones,25
World Championship,1154,2009,Last 64,Carlos Rodriguez,1561,Roland Scholten,6,3,2,Carlos Rodriguez,1561,Roland Scholten,6
World Championship,1154,2009,Last 32,Vincent van der Voort,1499,Colin Osborne,27,4,1,Vincent van der Voort,1499,Colin Osborne,27
World Championship,1154,2009,Last 32,James Wade,11,Tony Eccles,178,4,1,James Wade,11,Tony Eccles,178
World Championship,1154,2009,Last 32,Dennis Priestley,8,John Magowan,38,4,1,Dennis Priestley,8,John Magowan,38
World Championship,1154,2009,Last 32,Paul Nicholson,5212,Adrian Lewis,5,4,3,Paul Nicholson,5212,Adrian Lewis,5
World Championship,1154,2009,Last 32,Jelle Klaasen,1511,Jan van der Rassel,53,4,0,Jelle Klaasen,1511,Jan van der Rassel,53
World Championship,1154,2009,Last 32,Andy Hamilton,12,Tony Ayres,5326,4,2,Andy Hamilton,12,Tony Ayres,5326
World Championship,1154,2009,Last 32,Raymond van Barneveld,2,Wes Newton,24,4,1,Raymond van Barneveld,2,Wes Newton,24
World Championship,1154,2009,Last 32,Mervyn King,168,Mark Walsh,15,4,2,Mervyn King,168,Mark Walsh,15
World Championship,1154,2009,Last 32,Ronnie Baxter,14,Denis Ovens,19,4,1,Ronnie Baxter,14,Denis Ovens,19
World Championship,1154,2009,Last 32,Barrie Bates,16,Bill Davis,1391,4,2,Barrie Bates,16,Bill Davis,1391
World Championship,1154,2009,Last 32,Mark Dudbridge,20,Mensur Suljovic,1933,4,0,Mark Dudbridge,20,Mensur Suljovic,1933
World Championship,1154,2009,Last 32,Wayne Mardle,9,Robert Thornton,1543,4,3,Wayne Mardle,9,Robert Thornton,1543
World Championship,1154,2009,Last 32,Phil Taylor,1,Michael van Gerwen,1395,4,0,Phil Taylor,1,Michael van Gerwen,1395
World Championship,1154,2009,Last 32,Dennis Smith,31,Kevin McDine,1525,4,3,Dennis Smith,31,Kevin McDine,1525
World Championship,1154,2009,Last 32,Co Stompe,179,Alan Tabern,23,4,1,Co Stompe,179,Alan Tabern,23
World Championship,1154,2009,Last 32,Kevin Painter,18,Carlos Rodriguez,1561,4,1,Kevin Painter,18,Carlos Rodriguez,1561
World Championship,1154,2009,Last 16,James Wade,11,Vincent van der Voort,1499,4,0,James Wade,11,Vincent van der Voort,1499
World Championship,1154,2009,Last 16,Paul Nicholson,5212,Dennis Priestley,8,4,2,Paul Nicholson,5212,Dennis Priestley,8
World Championship,1154,2009,Last 16,Jelle Klaasen,1511,Andy Hamilton,12,4,1,Jelle Klaasen,1511,Andy Hamilton,12
World Championship,1154,2009,Last 16,Raymond van Barneveld,2,Ronnie Baxter,14,4,3,Raymond van Barneveld,2,Ronnie Baxter,14
World Championship,1154,2009,Last 16,Mervyn King,168,Dennis Smith,31,4,1,Mervyn King,168,Dennis Smith,31
World Championship,1154,2009,Last 16,Co Stompe,179,Wayne Mardle,9,4,0,Co Stompe,179,Wayne Mardle,9
World Championship,1154,2009,Last 16,Barrie Bates,16,Mark Dudbridge,20,4,0,Barrie Bates,16,Mark Dudbridge,20
World Championship,1154,2009,Last 16,Phil Taylor,1,Kevin Painter,18,4,1,Phil Taylor,1,Kevin Painter,18
World Championship,1154,2009,Quarter Final,James Wade,11,Paul Nicholson,5212,5,3,James Wade,11,Paul Nicholson,5212
World Championship,1154,2009,Quarter Final,Raymond van Barneveld,2,Jelle Klaasen,1511,5,1,Raymond van Barneveld,2,Jelle Klaasen,1511
World Championship,1154,2009,Quarter Final,Mervyn King,168,Barrie Bates,16,5,2,Mervyn King,168,Barrie Bates,16
World Championship,1154,2009,Quarter Final,Phil Taylor,1,Co Stompe,179,5,0,Phil Taylor,1,Co Stompe,179
World Championship,1154,2009,Semi Final,Raymond van Barneveld,2,James Wade,11,6,4,Raymond van Barneveld,2,James Wade,11
World Championship,1154,2009,Semi Final,Phil Taylor,1,Mervyn King,168,6,2,Phil Taylor,1,Mervyn King,168
World Championship,1154,2009,Final,Phil Taylor,1,Raymond van Barneveld,2,7,1,Phil Taylor,1,Raymond van Barneveld,2
World Championship,1155,2010,Last 72,Magnus Caris,1868,Francisco Ruiz,3054,4,0,Magnus Caris,1868,Francisco Ruiz,3054
World Championship,1155,2010,Last 72,Jan van der Rassel,53,Tomas Seyler,1378,4,1,Jan van der Rassel,53,Tomas Seyler,1378
World Championship,1155,2010,Last 72,Haruki Muramatsu,9165,Krzysztof Kciuk,8447,4,1,Haruki Muramatsu,9165,Krzysztof Kciuk,8447
World Championship,1155,2010,Last 72,Osmann Kijamet,9219,Phillip Hazel,4679,4,2,Osmann Kijamet,9219,Phillip Hazel,4679
World Championship,1155,2010,Last 72,Ken MacNeil,2162,Norman Madhoo,1760,4,2,Ken MacNeil,2162,Norman Madhoo,1760
World Championship,1155,2010,Last 72,Aodhagen O Neill,2412,Les Francis,4372,4,2,Aodhagen O Neill,2412,Les Francis,4372
World Championship,1155,2010,Last 72,Jarkko Komula,94,Roman Konchikov,4327,4,3,Jarkko Komula,94,Roman Konchikov,4327
World Championship,1155,2010,Last 72,Christian Perez,9234,Per Laursen,1396,4,3,Christian Perez,9234,Per Laursen,1396
World Championship,1155,2010,3rd Place Match,Mark Webster,191,Raymond van Barneveld,2,10,8,Mark Webster,191,Raymond van Barneveld,2
World Championship,1155,2010,Last 64,Colin Lloyd,3,Magnus Caris,1868,3,1,Colin Lloyd,3,Magnus Caris,1868
World Championship,1155,2010,Last 64,James Wade,11,Steve Brown,3624,3,1,James Wade,11,Steve Brown,3624
World Championship,1155,2010,Last 64,Wayne Jones,25,Alex Roy,22,3,1,Wayne Jones,25,Alex Roy,22
World Championship,1155,2010,Last 64,Michael van Gerwen,1395,Peter Wright,1463,3,1,Michael van Gerwen,1395,Peter Wright,1463
World Championship,1155,2010,Last 64,Denis Ovens,19,Jan van der Rassel,53,3,1,Denis Ovens,19,Jan van der Rassel,53
World Championship,1155,2010,Last 64,Simon Whitlock,1500,Colin Osborne,27,3,1,Simon Whitlock,1500,Colin Osborne,27
World Championship,1155,2010,Last 64,Darin Young,1380,Andy Smith,21,3,2,Darin Young,1380,Andy Smith,21
World Championship,1155,2010,Last 64,Steve Beaton,33,Carlos Rodriguez,1561,3,0,Steve Beaton,33,Carlos Rodriguez,1561
World Championship,1155,2010,Last 64,Terry Jenkins,7,Paul Nicholson,5212,3,2,Terry Jenkins,7,Paul Nicholson,5212
World Championship,1155,2010,Last 64,Ronnie Baxter,14,Haruki Muramatsu,9165,3,0,Ronnie Baxter,14,Haruki Muramatsu,9165
World Championship,1155,2010,Last 64,Vincent van der Voort,1499,Dylan Duo,3047,3,0,Vincent van der Voort,1499,Dylan Duo,3047
World Championship,1155,2010,Last 64,John Part,10,Toon Greebe,1617,3,0,John Part,10,Toon Greebe,1617
World Championship,1155,2010,Last 64,Andy Hamilton,12,Osmann Kijamet,9219,3,0,Andy Hamilton,12,Osmann Kijamet,9219
World Championship,1155,2010,Last 64,Gary Anderson,181,Jamie Caven,1662,3,2,Gary Anderson,181,Jamie Caven,1662
World Championship,1155,2010,Last 64,Kevin Painter,18,Mensur Suljovic,1933,3,1,Kevin Painter,18,Mensur Suljovic,1933
World Championship,1155,2010,Last 64,Raymond van Barneveld,2,Warren Parry,1412,3,0,Raymond van Barneveld,2,Warren Parry,1412
World Championship,1155,2010,Last 64,Alan Tabern,23,Ken MacNeil,2162,3,2,Alan Tabern,23,Ken MacNeil,2162
World Championship,1155,2010,Last 64,Brendan Dolan,1607,Tony Eccles,178,3,1,Brendan Dolan,1607,Tony Eccles,178
World Championship,1155,2010,Last 64,Mark Dudbridge,20,Andree Welge,1428,3,0,Mark Dudbridge,20,Andree Welge,1428
World Championship,1155,2010,Last 64,Mark Webster,191,Mark Walsh,15,3,2,Mark Webster,191,Mark Walsh,15
World Championship,1155,2010,Last 64,Peter Manley,4,Andy Jenkins,13,3,2,Peter Manley,4,Andy Jenkins,13
World Championship,1155,2010,Last 64,Adrian Lewis,5,Aodhagen O Neill,2412,3,0,Adrian Lewis,5,Aodhagen O Neill,2412
World Championship,1155,2010,Last 64,Mervyn King,168,Matt Clark,37,3,0,Mervyn King,168,Matt Clark,37
World Championship,1155,2010,Last 64,Barrie Bates,16,Jelle Klaasen,1511,3,1,Barrie Bates,16,Jelle Klaasen,1511
World Championship,1155,2010,Last 64,Kirk Shepherd,1492,Scotty Burnett,4229,3,0,Kirk Shepherd,1492,Scotty Burnett,4229
World Championship,1155,2010,Last 64,Wes Newton,24,Jarkko Komula,94,3,0,Wes Newton,24,Jarkko Komula,94
World Championship,1155,2010,Last 64,Co Stompe,179,Steve Maish,35,3,1,Co Stompe,179,Steve Maish,35
World Championship,1155,2010,Last 64,Steve Hine,43,Roland Scholten,6,3,2,Steve Hine,43,Roland Scholten,6
World Championship,1155,2010,Last 64,Robert Thornton,1543,Christian Perez,9234,3,1,Robert Thornton,1543,Christian Perez,9234
World Championship,1155,2010,Last 64,Phil Taylor,1,Colin Monk,39,3,0,Phil Taylor,1,Colin Monk,39
World Championship,1155,2010,Last 64,Kevin McDine,1525,Dennis Priestley,8,3,2,Kevin McDine,1525,Dennis Priestley,8
World Championship,1155,2010,Last 64,Jyhan Artut,1939,Wayne Mardle,9,3,0,Jyhan Artut,1939,Wayne Mardle,9
World Championship,1155,2010,Last 32,Simon Whitlock,1500,Wayne Jones,25,4,0,Simon Whitlock,1500,Wayne Jones,25
World Championship,1155,2010,Last 32,Terry Jenkins,7,Darin Young,1380,4,0,Terry Jenkins,7,Darin Young,1380
World Championship,1155,2010,Last 32,Andy Hamilton,12,Steve Beaton,33,4,1,Andy Hamilton,12,Steve Beaton,33
World Championship,1155,2010,Last 32,James Wade,11,Michael van Gerwen,1395,4,2,James Wade,11,Michael van Gerwen,1395
World Championship,1155,2010,Last 32,Ronnie Baxter,14,Gary Anderson,181,4,0,Ronnie Baxter,14,Gary Anderson,181
World Championship,1155,2010,Last 32,Raymond van Barneveld,2,Brendan Dolan,1607,4,0,Raymond van Barneveld,2,Brendan Dolan,1607
World Championship,1155,2010,Last 32,Mark Webster,191,Peter Manley,4,4,2,Mark Webster,191,Peter Manley,4
World Championship,1155,2010,Last 32,Kevin Painter,18,Vincent van der Voort,1499,4,3,Kevin Painter,18,Vincent van der Voort,1499
World Championship,1155,2010,Last 32,Colin Lloyd,3,Denis Ovens,19,4,3,Colin Lloyd,3,Denis Ovens,19
World Championship,1155,2010,Last 32,Kirk Shepherd,1492,John Part,10,4,1,Kirk Shepherd,1492,John Part,10
World Championship,1155,2010,Last 32,Mark Dudbridge,20,Alan Tabern,23,4,3,Mark Dudbridge,20,Alan Tabern,23
World Championship,1155,2010,Last 32,Co Stompe,179,Mervyn King,168,4,2,Co Stompe,179,Mervyn King,168
World Championship,1155,2010,Last 32,Kevin McDine,1525,Barrie Bates,16,4,0,Kevin McDine,1525,Barrie Bates,16
World Championship,1155,2010,Last 32,Adrian Lewis,5,Wes Newton,24,4,2,Adrian Lewis,5,Wes Newton,24
World Championship,1155,2010,Last 32,Robert Thornton,1543,Jyhan Artut,1939,4,1,Robert Thornton,1543,Jyhan Artut,1939
World Championship,1155,2010,Last 32,Phil Taylor,1,Steve Hine,43,4,0,Phil Taylor,1,Steve Hine,43
World Championship,1155,2010,Last 16,James Wade,11,Andy Hamilton,12,4,3,James Wade,11,Andy Hamilton,12
World Championship,1155,2010,Last 16,Ronnie Baxter,14,Colin Lloyd,3,4,1,Ronnie Baxter,14,Colin Lloyd,3
World Championship,1155,2010,Last 16,Raymond van Barneveld,2,Kevin Painter,18,4,1,Raymond van Barneveld,2,Kevin Painter,18
World Championship,1155,2010,Last 16,Simon Whitlock,1500,Terry Jenkins,7,4,2,Simon Whitlock,1500,Terry Jenkins,7
World Championship,1155,2010,Last 16,Co Stompe,179,Mark Dudbridge,20,4,2,Co Stompe,179,Mark Dudbridge,20
World Championship,1155,2010,Last 16,Mark Webster,191,Kirk Shepherd,1492,4,1,Mark Webster,191,Kirk Shepherd,1492
World Championship,1155,2010,Last 16,Adrian Lewis,5,Kevin McDine,1525,4,0,Adrian Lewis,5,Kevin McDine,1525
World Championship,1155,2010,Last 16,Phil Taylor,1,Robert Thornton,1543,4,1,Phil Taylor,1,Robert Thornton,1543
World Championship,1155,2010,Quarter Final,Simon Whitlock,1500,James Wade,11,5,3,Simon Whitlock,1500,James Wade,11
World Championship,1155,2010,Quarter Final,Raymond van Barneveld,2,Ronnie Baxter,14,5,0,Raymond van Barneveld,2,Ronnie Baxter,14
World Championship,1155,2010,Quarter Final,Phil Taylor,1,Adrian Lewis,5,5,0,Phil Taylor,1,Adrian Lewis,5
World Championship,1155,2010,Quarter Final,Mark Webster,191,Co Stompe,179,5,3,Mark Webster,191,Co Stompe,179
World Championship,1155,2010,Semi Final,Phil Taylor,1,Mark Webster,191,6,0,Phil Taylor,1,Mark Webster,191
World Championship,1155,2010,Semi Final,Simon Whitlock,1500,Raymond van Barneveld,2,6,5,Simon Whitlock,1500,Raymond van Barneveld,2
World Championship,1155,2010,Final,Phil Taylor,1,Simon Whitlock,1500,7,3,Phil Taylor,1,Simon Whitlock,1500
World Championship,2334,2011,Last 72,Magnus Caris,1868,Dietmar Burger,1943,4,3,Magnus Caris,1868,Dietmar Burger,1943
World Championship,2334,2011,Last 72,Devon Petersen,9003,Norman Madhoo,1760,4,3,Devon Petersen,9003,Norman Madhoo,1760
World Championship,2334,2011,Last 72,Preston Ridd,3634,Mickey Mansell,4083,4,0,Preston Ridd,3634,Mickey Mansell,4083
World Championship,2334,2011,Last 72,Jyhan Artut,1939,Scott MacKenzie,4792,4,3,Jyhan Artut,1939,Scott MacKenzie,4792
World Championship,2334,2011,Last 72,Per Laursen,1396,Boris Krcmar,6571,4,2,Per Laursen,1396,Boris Krcmar,6571
World Championship,2334,2011,Last 72,Morihiro Hashimoto,8332,Matt Padgett,7130,4,2,Morihiro Hashimoto,8332,Matt Padgett,7130
World Championship,2334,2011,Last 72,Roland Scholten,6,Veijo Viinikka,2155,4,2,Roland Scholten,6,Veijo Viinikka,2155
World Championship,2334,2011,Last 72,Gary Mawson,1584,Juanito Gionzon,9430,4,1,Gary Mawson,1584,Juanito Gionzon,9430
World Championship,2334,2011,Last 64,Mervyn King,168,Magnus Caris,1868,3,0,Mervyn King,168,Magnus Caris,1868
World Championship,2334,2011,Last 64,Dennis Priestley,8,Bernd Roith,6081,3,0,Dennis Priestley,8,Bernd Roith,6081
World Championship,2334,2011,Last 64,Andy Smith,21,Shane Tichowitsch,1620,3,1,Andy Smith,21,Shane Tichowitsch,1620
World Championship,2334,2011,Last 64,Mark Walsh,15,Justin Pipe,6494,3,1,Mark Walsh,15,Justin Pipe,6494
World Championship,2334,2011,Last 64,Jamie Caven,1662,Devon Petersen,9003,3,1,Jamie Caven,1662,Devon Petersen,9003
World Championship,2334,2011,Last 64,Colin Osborne,27,Chris Thompson,2288,3,1,Colin Osborne,27,Chris Thompson,2288
World Championship,2334,2011,Last 64,Kevin McDine,1525,Barrie Bates,16,3,1,Kevin McDine,1525,Barrie Bates,16
World Championship,2334,2011,Last 64,Raymond van Barneveld,2,Steve Hine,43,3,1,Raymond van Barneveld,2,Steve Hine,43
World Championship,2334,2011,Last 64,Steve Brown,3624,Jelle Klaasen,1511,3,1,Steve Brown,3624,Jelle Klaasen,1511
World Championship,2334,2011,Last 64,Vincent van der Voort,1499,Preston Ridd,3634,3,0,Vincent van der Voort,1499,Preston Ridd,3634
World Championship,2334,2011,Last 64,Terry Jenkins,7,Joe Cullen,6487,3,2,Terry Jenkins,7,Joe Cullen,6487
World Championship,2334,2011,Last 64,Mensur Suljovic,1933,Michael van Gerwen,1395,3,1,Mensur Suljovic,1933,Michael van Gerwen,1395
World Championship,2334,2011,Last 64,Denis Ovens,19,Jyhan Artut,1939,3,1,Denis Ovens,19,Jyhan Artut,1939
World Championship,2334,2011,Last 64,Alan Tabern,23,Richie Burnett,51,3,2,Alan Tabern,23,Richie Burnett,51
World Championship,2334,2011,Last 64,Brendan Dolan,1607,Kevin Painter,18,3,0,Brendan Dolan,1607,Kevin Painter,18
World Championship,2334,2011,Last 64,James Wade,11,Toni Alcinas,4072,3,0,James Wade,11,Toni Alcinas,4072
World Championship,2334,2011,Last 64,Per Laursen,1396,John Part,10,3,0,Per Laursen,1396,John Part,10
World Championship,2334,2011,Last 64,Wes Newton,24,Darin Young,1380,3,0,Wes Newton,24,Darin Young,1380
World Championship,2334,2011,Last 64,Robert Thornton,1543,Nigel Heydon,3895,3,1,Robert Thornton,1543,Nigel Heydon,3895
World Championship,2334,2011,Last 64,Wayne Jones,25,Kirk Shepherd,1492,3,1,Wayne Jones,25,Kirk Shepherd,1492
World Championship,2334,2011,Last 64,Gary Anderson,181,Morihiro Hashimoto,8332,3,0,Gary Anderson,181,Morihiro Hashimoto,8332
World Championship,2334,2011,Last 64,Mark Dudbridge,20,Alex Roy,22,3,1,Mark Dudbridge,20,Alex Roy,22
World Championship,2334,2011,Last 64,Simon Whitlock,1500,Steve Evans,1454,3,0,Simon Whitlock,1500,Steve Evans,1454
World Championship,2334,2011,Last 64,Andy Hamilton,12,Dennis Smith,31,3,0,Andy Hamilton,12,Dennis Smith,31
World Championship,2334,2011,Last 64,Ronnie Baxter,14,Roland Scholten,6,3,0,Ronnie Baxter,14,Roland Scholten,6
World Championship,2334,2011,Last 64,Adrian Lewis,5,Tony Eccles,178,3,0,Adrian Lewis,5,Tony Eccles,178
World Championship,2334,2011,Last 64,Colin Lloyd,3,Andree Welge,1428,3,2,Colin Lloyd,3,Andree Welge,1428
World Championship,2334,2011,Last 64,Peter Wright,1463,Co Stompe,179,3,1,Peter Wright,1463,Co Stompe,179
World Championship,2334,2011,Last 64,Phil Taylor,1,Gary Mawson,1584,3,0,Phil Taylor,1,Gary Mawson,1584
World Championship,2334,2011,Last 64,Mark Hylton,3897,Steve Beaton,33,3,2,Mark Hylton,3897,Steve Beaton,33
World Championship,2334,2011,Last 64,Mark Webster,191,Steve Maish,35,3,0,Mark Webster,191,Steve Maish,35
World Championship,2334,2011,Last 64,Paul Nicholson,5212,Steve Farmer,96,3,0,Paul Nicholson,5212,Steve Farmer,96
World Championship,2334,2011,Last 32,Gary Anderson,181,Dennis Priestley,8,4,2,Gary Anderson,181,Dennis Priestley,8
World Championship,2334,2011,Last 32,Andy Smith,21,Mervyn King,168,4,3,Andy Smith,21,Mervyn King,168
World Championship,2334,2011,Last 32,Colin Osborne,27,Jamie Caven,1662,4,0,Colin Osborne,27,Jamie Caven,1662
World Championship,2334,2011,Last 32,Raymond van Barneveld,2,Kevin McDine,1525,4,1,Raymond van Barneveld,2,Kevin McDine,1525
World Championship,2334,2011,Last 32,Wes Newton,24,Brendan Dolan,1607,4,0,Wes Newton,24,Brendan Dolan,1607
World Championship,2334,2011,Last 32,Mensur Suljovic,1933,James Wade,11,4,2,Mensur Suljovic,1933,James Wade,11
World Championship,2334,2011,Last 32,Simon Whitlock,1500,Denis Ovens,19,4,0,Simon Whitlock,1500,Denis Ovens,19
World Championship,2334,2011,Last 32,Mark Walsh,15,Alan Tabern,23,4,3,Mark Walsh,15,Alan Tabern,23
World Championship,2334,2011,Last 32,Terry Jenkins,7,Steve Brown,3624,4,1,Terry Jenkins,7,Steve Brown,3624
World Championship,2334,2011,Last 32,Vincent van der Voort,1499,Wayne Jones,25,4,2,Vincent van der Voort,1499,Wayne Jones,25
World Championship,2334,2011,Last 32,Robert Thornton,1543,Andy Hamilton,12,4,0,Robert Thornton,1543,Andy Hamilton,12
World Championship,2334,2011,Last 32,Adrian Lewis,5,Mark Dudbridge,20,4,1,Adrian Lewis,5,Mark Dudbridge,20
World Championship,2334,2011,Last 32,Mark Hylton,3897,Colin Lloyd,3,4,2,Mark Hylton,3897,Colin Lloyd,3
World Championship,2334,2011,Last 32,Mark Webster,191,Ronnie Baxter,14,4,0,Mark Webster,191,Ronnie Baxter,14
World Championship,2334,2011,Last 32,Peter Wright,1463,Paul Nicholson,5212,4,2,Peter Wright,1463,Paul Nicholson,5212
World Championship,2334,2011,Last 32,Phil Taylor,1,Per Laursen,1396,4,0,Phil Taylor,1,Per Laursen,1396
World Championship,2334,2011,Last 16,Wes Newton,24,Mensur Suljovic,1933,4,0,Wes Newton,24,Mensur Suljovic,1933
World Championship,2334,2011,Last 16,Raymond van Barneveld,2,Colin Osborne,27,4,3,Raymond van Barneveld,2,Colin Osborne,27
World Championship,2334,2011,Last 16,Vincent van der Voort,1499,Simon Whitlock,1500,4,2,Vincent van der Voort,1499,Simon Whitlock,1500
World Championship,2334,2011,Last 16,Gary Anderson,181,Andy Smith,21,4,0,Gary Anderson,181,Andy Smith,21
World Championship,2334,2011,Last 16,Terry Jenkins,7,Mark Walsh,15,4,0,Terry Jenkins,7,Mark Walsh,15
World Championship,2334,2011,Last 16,Adrian Lewis,5,Robert Thornton,1543,4,1,Adrian Lewis,5,Robert Thornton,1543
World Championship,2334,2011,Last 16,Mark Webster,191,Mark Hylton,3897,4,1,Mark Webster,191,Mark Hylton,3897
World Championship,2334,2011,Last 16,Phil Taylor,1,Peter Wright,1463,4,1,Phil Taylor,1,Peter Wright,1463
World Championship,2334,2011,Quarter Final,Gary Anderson,181,Raymond van Barneveld,2,5,1,Gary Anderson,181,Raymond van Barneveld,2
